Date,Volatility
2020-01-01,6.323892297
2020-01-02,9.916339249
2020-01-03,19.51754654
2020-01-04,9.634264342
2020-01-05,9.870644973
2020-01-06,13.11608169
2020-01-07,23.14655735
2020-01-08,27.83609092
2020-01-09,17.40239308
2020-01-10,20.8132184
2020-01-11,17.63110285
2020-01-12,12.26149721
2020-01-13,9.080809672
2020-01-14,26.10134368
2020-01-15,22.5936378
2020-01-16,17.36872793
2020-01-17,19.56048014
2020-01-18,13.24094937
2020-01-19,22.4625164
2020-01-20,12.43335977
2020-01-21,11.88957442
2020-01-22,9.688478214
2020-01-23,15.15350193
2020-01-24,14.84447045
2020-01-25,11.54598383
2020-01-26,11.89986269
2020-01-27,15.56346709
2020-01-28,25.05574211
2020-01-29,17.80345102
2020-01-30,18.93958644
2020-01-31,15.99072411
2020-02-01,11.21223891
2020-02-02,14.16691045
2020-02-03,17.22831092
2020-02-04,14.90702932
2020-02-05,15.85021897
2020-02-06,20.45714407
2020-02-07,12.96150569
2020-02-08,12.85967237
2020-02-09,13.46844564
2020-02-10,21.74843859
2020-02-11,20.4186489
2020-02-12,17.73698362
2020-02-13,25.04188469
2020-02-14,16.00847262
2020-02-15,20.05389453
2020-02-16,21.04218443
2020-02-17,21.50027799
2020-02-18,21.51158844
2020-02-19,29.48139116
2020-02-20,19.31569098
2020-02-21,15.62445743
2020-02-22,8.247485269
2020-02-23,13.27756013
2020-02-24,21.35382323
2020-02-25,20.87713389
2020-02-26,29.95403539
2020-02-27,24.0941379
2020-02-28,24.38249255
2020-02-29,16.08227703
2020-03-01,21.47657842
2020-03-02,14.40936635
2020-03-03,16.9550699
2020-03-04,11.53734734
2020-03-05,15.42750409
2020-03-06,11.30357426
2020-03-07,11.00486483
2020-03-08,21.97828039
2020-03-09,27.56492602
2020-03-10,23.63380512
2020-03-11,22.08979711
2020-03-12,79.5872024
2020-03-13,126.3316268
2020-03-14,34.24961806
2020-03-15,39.46063364
2020-03-16,43.21952773
2020-03-17,34.4514226
2020-03-18,28.90400663
2020-03-19,33.94181069
2020-03-20,48.18411945
2020-03-21,38.47401591
2020-03-22,30.51517325
2020-03-23,35.50883741
2020-03-24,30.85169411
2020-03-25,29.69651892
2020-03-26,17.16965511
2020-03-27,18.56190809
2020-03-28,20.38907445
2020-03-29,15.09545314
2020-03-30,19.95498592
2020-03-31,14.88024043
2020-04-01,19.17160223
2020-04-02,26.68969854
2020-04-03,24.83885954
2020-04-04,19.01767311
2020-04-05,12.43958306
2020-04-06,20.16796952
2020-04-07,19.51369412
2020-04-08,18.32903366
2020-04-09,14.72901125
2020-04-10,18.560395
2020-04-11,10.25865758
2020-04-12,15.52466098
2020-04-13,18.72224586
2020-04-14,13.83416188
2020-04-15,10.86478308
2020-04-16,24.69111658
2020-04-17,12.98306954
2020-04-18,10.34362739
2020-04-19,11.3760542
2020-04-20,18.61085212
2020-04-21,12.62718768
2020-04-22,11.21042621
2020-04-23,19.48234747
2020-04-24,12.62833151
2020-04-25,11.67495331
2020-04-26,11.33371967
2020-04-27,12.86688598
2020-04-28,8.849309104
2020-04-29,30.54541668
2020-04-30,49.3444385
2020-05-01,25.19108978
2020-05-02,15.73687888
2020-05-03,26.07287411
2020-05-04,23.50864978
2020-05-05,19.71986696
2020-05-06,23.49708696
2020-05-07,29.59318062
2020-05-08,23.42913419
2020-05-09,22.66255488
2020-05-10,50.81825145
2020-05-11,48.09612684
2020-05-12,23.58406501
2020-05-13,19.0401007
2020-05-14,32.77577858
2020-05-15,32.81921768
2020-05-16,24.69303413
2020-05-17,20.64831488
2020-05-18,23.3125876
2020-05-19,23.18414851
2020-05-20,21.53333511
2020-05-21,27.38965248
2020-05-22,17.61250194
2020-05-23,15.05591309
2020-05-24,21.59192919
2020-05-25,19.26281975
2020-05-26,16.61278179
2020-05-27,15.98068938
2020-05-28,17.25549169
2020-05-29,14.63231503
2020-05-30,16.19468066
2020-05-31,15.07875457
2020-06-01,18.92076654
2020-06-02,26.63584232
2020-06-03,12.90918733
2020-06-04,17.97636427
2020-06-05,16.92699591
2020-06-06,12.10310977
2020-06-07,17.91789919
2020-06-08,11.7256209
2020-06-09,13.08628026
2020-06-10,12.12389633
2020-06-11,26.6309633
2020-06-12,15.8518105
2020-06-13,9.42256536
2020-06-14,11.41547019
2020-06-15,21.54565494
2020-06-16,15.8842136
2020-06-17,14.73298138
2020-06-18,11.51071215
2020-06-19,12.96227336
2020-06-20,9.431015281
2020-06-21,7.084564684
2020-06-22,12.60703964
2020-06-23,10.6353181
2020-06-24,16.96632076
2020-06-25,16.73359255
2020-06-26,15.36547292
2020-06-27,15.96230527
2020-06-28,10.94798991
2020-06-29,10.75916661
2020-06-30,9.160865313
